No;edad;sexo;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;FDMQTOTAL
54.0;21.0;1.0;3.0;2.0;2.0;2.0;1.0;2.0;3.0;1.0;4.0;2.0;3.0;3.0;3.0;3.0;2.0;2.0;3.0;2.0;3.0;3.0;3.0;3.0;3.0;3.0;2.0;2.0;3.0;2.0;3.0;3.0;2.0;78.0
55.0;20.0;2.0;3.0;4.0;2.0;2.0;1.0;2.0;4.0;2.0;2.0;2.0;3.0;2.0;2.0;4.0;1.0;2.0;2.0;2.0;4.0;2.0;3.0;3.0;2.0;2.0;2.0;4.0;2.0;3.0;3.0;1.0;3.0;76.0
56.0;22.0;2.0;2.0;2.0;3.0;2.0;1.0;1.0;3.0;2.0;3.0;2.0;3.0;3.0;2.0;3.0;1.0;2.0;2.0;2.0;3.0;2.0;3.0;1.0;2.0;3.0;2.0;2.0;3.0;1.0;3.0;2.0;3.0;69.0
57.0;29.0;2.0;2.0;2.0;4.0;1.0;2.0;1.0;4.0;1.0;1.0;4.0;4.0;2.0;1.0;4.0;2.0;4.0;1.0;4.0;4.0;1.0;2.0;2.0;2.0;4.0;3.0;1.0;1.0;2.0;2.0;1.0;2.0;71.0
58.0;0.0;2.0;2.0;1.0;4.0;1.0;1.0;1.0;3.0;2.0;1.0;1.0;4.0;4.0;2.0;4.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;1.0;2.0;2.0;2.0;45.0
59.0;19.0;2.0;3.0;2.0;3.0;2.0;3.0;3.0;2.0;3.0;3.0;2.0;2.0;3.0;2.0;1.0;4.0;2.0;2.0;2.0;3.0;2.0;4.0;4.0;3.0;4.0;2.0;2.0;3.0;4.0;2.0;4.0;4.0;85.0
60.0;25.0;1.0;2.0;2.0;3.0;2.0;1.0;2.0;3.0;2.0;2.0;3.0;3.0;2.0;2.0;3.0;2.0;1.0;3.0;2.0;3.0;2.0;2.0;2.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.0
61.0;19.0;2.0;3.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;1.0;2.0;3.0;2.0;3.0;2.0;2.0;2.0;1.0;3.0;65.0
62.0;20.0;2.0;3.0;2.0;3.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;1.0;2.0;3.0;2.0;3.0;2.0;2.0;2.0;1.0;3.0;63.0
63.0;18.0;1.0;1.0;2.0;3.0;1.0;1.0;1.0;4.0;1.0;3.0;1.0;3.0;2.0;3.0;4.0;1.0;1.0;2.0;1.0;4.0;2.0;2.0;1.0;1.0;4.0;2.0;1.0;2.0;2.0;2.0;2.0;3.0;63.0
64.0;18.0;2.0;2.0;3.0;4.0;1.0;1.0;1.0;1.0;2.0;2.0;4.0;4.0;3.0;4.0;4.0;1.0;1.0;2.0;1.0;2.0;2.0;3.0;1.0;2.0;4.0;4.0;4.0;2.0;1.0;2.0;1.0;3.0;72.0
65.0;24.0;1.0;1.0;2.0;4.0;1.0;1.0;1.0;4.0;1.0;2.0;1.0;4.0;1.0;2.0;4.0;1.0;1.0;2.0;1.0;4.0;2.0;2.0;1.0;2.0;4.0;2.0;1.0;2.0;1.0;1.0;1.0;1.0;58.0
66.0;20.0;2.0;3.0;2.0;4.0;1.0;2.0;2.0;3.0;2.0;4.0;3.0;4.0;3.0;2.0;4.0;2.0;4.0;2.0;1.0;3.0;3.0;3.0;2.0;4.0;4.0;3.0;2.0;2.0;2.0;4.0;2.0;3.0;85.0
67.0;22.0;1.0;2.0;2.0;3.0;1.0;1.0;2.0;4.0;1.0;2.0;1.0;4.0;1.0;3.0;4.0;1.0;1.0;1.0;1.0;4.0;2.0;2.0;1.0;2.0;4.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;58.0
68.0;23.0;1.0;2.0;1.0;4.0;1.0;1.0;1.0;4.0;1.0;1.0;4.0;1.0;2.0;4.0;4.0;1.0;1.0;2.0;1.0;4.0;2.0;2.0;1.0;1.0;4.0;2.0;1.0;2.0;1.0;1.0;1.0;1.0;59.0
69.0;19.0;2.0;2.0;1.0;3.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;3.0;1.0;1.0;4.0;1.0;1.0;2.0;1.0;4.0;1.0;1.0;2.0;1.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;50.0
70.0;18.0;1.0;3.0;2.0;4.0;2.0;3.0;2.0;4.0;1.0;3.0;2.0;2.0;3.0;4.0;4.0;2.0;2.0;1.0;2.0;3.0;2.0;2.0;3.0;1.0;4.0;2.0;4.0;3.0;4.0;3.0;2.0;4.0;83.0
71.0;28.0;1.0;4.0;2.0;4.0;2.0;3.0;3.0;4.0;2.0;3.0;4.0;3.0;2.0;1.0;4.0;4.0;2.0;1.0;2.0;3.0;1.0;1.0;3.0;1.0;3.0;2.0;4.0;3.0;4.0;1.0;3.0;3.0;82.0
72.0;20.0;1.0;4.0;1.0;4.0;3.0;4.0;3.0;3.0;2.0;3.0;4.0;3.0;2.0;2.0;4.0;4.0;2.0;1.0;2.0;3.0;1.0;1.0;3.0;1.0;4.0;4.0;4.0;3.0;4.0;1.0;4.0;4.0;88.0
73.0;19.0;1.0;3.0;2.0;4.0;1.0;3.0;2.0;3.0;1.0;3.0;2.0;1.0;3.0;3.0;4.0;3.0;2.0;1.0;1.0;3.0;2.0;2.0;3.0;1.0;4.0;2.0;4.0;3.0;4.0;3.0;1.0;4.0;78.0
74.0;20.0;2.0;3.0;2.0;4.0;2.0;3.0;2.0;3.0;1.0;3.0;2.0;2.0;4.0;4.0;4.0;2.0;2.0;1.0;2.0;3.0;2.0;2.0;3.0;1.0;3.0;2.0;4.0;3.0;3.0;3.0;2.0;4.0;81.0
